stage	type	logexpr	level	num
zygote	Normal	2.30881266137	0.22	1
zygote	Normal	2.83208918301	0.83	1
zygote	Normal	0.965233265387	0.5	1
zygote	Normal	0.151453330965	0.83	1
zygote	Normal	0.0335957882681	0.67	1
zygote	Normal	0.147481633951	0.25	1
zygote	Normal	0.78673314749	0.5	1
zygote	Normal	1.60338161	0.83	2
zygote	Normal	2.82786376643	0.63	4
zygote	Normal	1.71568443547	0.67	1
zygote	Normal	0.425534366522	1.0	1
zygote	Normal	1.55694811305	0.33	1
zygote	Change	0.580107253558	1.0	2
zygote	Normal	3.12837764878	0.5	1
zygote	Normal	3.15306502806	1.0	1
zygote	Normal	3.02358573904	1.0	1
zygote	Normal	4.47028358978	0.5	1
zygote	Normal	4.59791895927	0.85	2
zygote	Normal	0.0399036529737	0.33	1
zygote	Normal	4.57106102656	0.5	1
zygote	Normal	1.33449830879	0.42	1
zygote	Normal	3.69899808764	1.0	2
zygote	Normal	1.15437176148	1.0	1
zygote	Normal	6.70919091919	0.71	1
zygote	Normal	1.56509932528	0.83	1
zygote	Normal	3.51289676419	0.71	1
zygote	Normal	3.56124492647	0.45	1
zygote	Normal	0.218919442314	1.0	1
zygote	Change	0.652706884017	0.75	1
zygote	Normal	0.591171485484	1.0	1
zygote	Change	1.70898637076	0.29	1
zygote	Normal	3.09783749649	0.33	1
zygote	Normal	0.700693634315	1.0	1
zygote	Normal	1.54579072727	0.29	1
zygote	Normal	2.42431588157	1.0	1
zygote	Normal	2.13312921725	0.75	1
zygote	Change	1.2256413368	0.67	1
zygote	Normal	0.839314650625	1.0	2
zygote	Normal	0.732651507337	1.0	1
zygote	Normal	0.160455051165	0.67	1
zygote	Normal	0.445659065454	0.5	1
zygote	Normal	0.0799319015348	1.0	1
zygote	Normal	3.32956531628	1.0	1
zygote	Change	0.293796590626	1.0	1
zygote	Normal	0.794846000385	0.5	1
zygote	Normal	3.28960265884	0.67	1
zygote	Normal	1.26170571977	0.67	1
zygote	Normal	3.77303906033	0.84	1
zygote	Normal	0.0171101823878	1.0	1
zygote	Normal	0.943329857541	1.0	1
zygote	Change	0.217510917776	0.58	1
zygote	Normal	0.275424757556	0.5	1
zygote	Normal	1.0351718311	1.0	1
zygote	Normal	0.473264556638	0.37	1
zygote	Normal	2.62693413981	0.25	2
zygote	Normal	4.67629944045	0.63	2
zygote	Change	1.48411729041	0.75	2
zygote	Normal	2.90900267504	1.0	1
zygote	Normal	0.0647855531227	0.5	1
zygote	Normal	3.6752900348	0.49	1
zygote	Normal	1.96502766777	0.67	1
zygote	Normal	0.112585552109	1.0	1
zygote	Normal	0.69514019319	1.0	1
zygote	Normal	1.1023884832	0.555	2
zygote	Normal	3.64948872651	0.44	1
zygote	Normal	0.34989813314	1.0	1
zygote	Normal	0.666449960085	0.76	1
zygote	Normal	0.0499610022804	0.67	1
zygote	Normal	0.836810199484	0.27	1
zygote	Normal	0.283884872203	0.83	1
zygote	Normal	0.998659347909	0.835	2
zygote	Normal	1.6768030599	1.0	1
zygote	Normal	0.0	0.67	1
zygote	Normal	2.25066949976	0.82	1
zygote	Normal	0.0	1.0	2
zygote	Normal	1.04535918036	0.23	1
zygote	Normal	0.690132139889	1.0	2
zygote	Normal	0.0678319044922	0.5	1
zygote	Normal	0.407199603002	1.0	1
zygote	Normal	3.45570134965	1.0	1
zygote	Normal	0.218217839892	0.83	1
zygote	Normal	1.89672290606	0.21	1
zygote	Normal	1.8197118038	1.0	1
zygote	Normal	2.4825204718	0.3325	4
zygote	Normal	3.89725854523	1.0	1
zygote	Normal	2.10222623779	0.5	1
zygote	Normal	0.657204409081	0.5	1
zygote	Change	0.690291105859	0.776666666667	3
zygote	Normal	0.0600867830895	0.26	1
zygote	Change	2.92333898434	0.25	1
zygote	Normal	4.24440976498	0.57	1
zygote	Normal	3.23170517568	0.5	1
zygote	Normal	3.55154369118	1.0	1
zygote	Normal	2.00228508145	1.0	2
zygote	Normal	0.70088714957	1.0	1
zygote	Normal	0.707823947956	1.0	1
zygote	Normal	2.16107452266	0.18	1
zygote	Normal	0.00943133481188	1.0	1
zygote	Normal	4.83470129336	1.0	1
zygote	Normal	1.39116249252	1.0	1
zygote	Change	0.383995612358	0.5	1
zygote	Normal	1.92085311293	0.934	5
zygote	Normal	0.286635775274	0.79	2
zygote	Change	0.0391831162927	1.0	1
zygote	Normal	2.40816058554	1.0	1
zygote	Normal	2.4160476979	0.67	1
zygote	Normal	1.37554428556	1.0	1
zygote	Normal	3.14817864473	1.0	1
zygote	Change	0.0584504954096	1.0	1
zygote	Normal	0.292953155851	1.0	1
zygote	Normal	1.17951308961	0.5	1
zygote	Normal	3.43018968043	0.5	1
zygote	Normal	2.26635047701	0.5	1
zygote	Normal	1.01959433353	0.22	1
zygote	Normal	0.0	0.7	1
zygote	Normal	1.64493246128	0.627142857143	7
zygote	Normal	3.54279242549	0.79	1
zygote	Normal	0.579627356987	1.0	1
zygote	Normal	2.14268039048	1.0	1
zygote	Normal	2.11948763527	1.0	1
zygote	Change	0.442517446394	0.5	1
zygote	Normal	3.42014343305	0.67	1
zygote	Change	0.654957136085	0.875	2
zygote	Normal	0.848007608456	0.5	1
zygote	Normal	2.15760671866	1.0	1
zygote	Normal	4.38306734295	0.83	1
zygote	Normal	0.385903691718	1.0	1
zygote	Change	0.0833091823163	1.0	1
zygote	Normal	3.75930296841	1.0	1
zygote	Normal	1.86797331771	1.0	1
zygote	Normal	3.01450495888	1.0	1
zygote	Normal	3.42362401422	0.775	2
