stage	type	level	num
early	up	1.0	1
early	up	0.48	1
early	up	1.02	2
early	down	2.23	4
early	up	0.75	1
early	up	1.0	1
early	down	1.6	2
early	up	1.0	1
early	down	2.31	5
early	up	1.0	1
early	down	0.88	1
early	up	1.0	1
early	up	1.21	2
early	up	2.0	2
early	down	0.5	1
early	up	5.43	7
early	up	1.69	2
early	down	0.83	1
early	up	1.0	1
early	up	0.84	1
early	down	1.0	1
early	up	1.0	1
early	down	0.67	1
early	down	0.75	1
early	down	1.0	1
early	down	2.44	3
early	up	1.0	1
early	down	0.5	1
early	up	1.0	1
early	down	0.64	1
early	up	1.0	1
early	down	0.4	1
early	down	1.0	1
early	down	1.0	1
early	down	1.0	1
early	down	0.5	1
early	down	9.5	10
early	down	0.34	1
early	down	1.0	1
early	down	4.0	4
early	up	0.5	1
early	up	0.49	1
early	down	0.84	1
early	up	1.0	1
early	down	1.0	1
early	down	2.0	2
early	up	0.75	1
early	up	1.3	3
early	up	4.67	5
early	down	2.91	6
early	up	1.0	1
early	up	2.74	4
early	up	0.71	1
early	down	0.83	1
early	up	0.38	1
early	down	1.0	1
early	down	0.5	1
early	up	1.25	2
early	up	0.85	1
early	up	0.62	1
early	down	0.67	1
early	up	1.0	1
early	down	0.5	1
early	down	1.0	1
early	up	1.0	1
early	down	1.0	1
early	down	1.0	1
early	down	1.66	2
early	down	1.0	1
early	down	1.75	2
early	up	1.0	1
early	down	0.5	1
early	up	0.5	1
early	down	1.0	1
early	down	0.7	1
early	down	0.33	1
early	up	0.67	1
early	up	0.37	1
early	down	0.5	1
early	down	3.0	3
early	down	3.06	4
early	up	4.0	4
early	down	2.0	2
early	down	0.4	1
early	up	0.33	1
early	up	2.0	2
early	down	2.01	3
early	down	0.62	1
early	up	0.45	1
early	up	0.55	1
early	down	1.0	1
early	up	0.67	1
early	up	1.0	1
early	down	0.75	1
early	up	1.0	1
early	down	1.0	1
early	down	0.27	1
early	down	0.35	1
early	up	0.45	1
early	up	1.0	1
early	down	1.0	1
early	up	0.74	1
early	down	1.0	1
early	up	1.34	2
early	down	1.0	1
early	up	1.0	1
early	down	0.5	1
early	up	1.0	1
early	down	0.53	1
early	up	0.5	1
early	up	0.88	1
early	down	0.5	1
early	down	1.0	1
early	up	1.67	2
early	down	0.67	2
early	up	2.17	3
early	down	1.0	1
early	up	5.0	5
early	down	0.5	1
early	down	1.0	1
early	up	3.89	6
early	down	1.0	1
early	up	1.83	2
early	down	1.34	2
early	up	1.34	2
early	down	0.49	1
early	down	0.67	2
early	up	4.5	5
early	down	0.33	1
early	down	1.0	1
early	down	0.83	1
early	down	0.97	1
early	up	0.4	1
early	down	1.0	1
early	up	2.0	2
early	down	0.67	1
early	down	1.0	1
early	down	1.5	2
early	up	0.8	2
early	down	0.99	2
early	down	0.25	1
early	down	0.88	3
early	down	0.83	1
early	down	1.0	1
early	up	1.83	3
early	down	1.95	2
early	up	0.55	1
early	down	1.0	1
early	down	0.33	1
early	down	3.4	9
early	up	0.83	1
early	up	1.0	1
early	down	1.99	3
early	down	0.81	1
early	down	1.0	1
early	down	2.0	2
early	up	0.5	1
early	up	1.0	1
early	down	2.1	3
early	down	1.83	2
